Profiler output for flat cell storage:

10 tests, 27 assertions, 0 failures, 0 errors
Thread ID: 109440
Total: 551.939148

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00       33  Hash#keys
  0.00      0.04     0.00     0.00     0.04        1  GridTester#test_unused_values_for_cell
  0.00      0.01     0.00     0.00     0.01        8  OptionParser#on
  0.00      0.00     0.00     0.00     0.00        3  Hash#each
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::Util::Observable#remove_listener
  0.00      0.00     0.00     0.00     0.00        2  Module#attr_accessor
  0.00      0.00     0.00     0.00     0.00       12  Test::Unit::UI::Console::TestRunner#nl
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::UI::Console::TestRunner#test_started
  0.00      0.00     0.00     0.00     0.00       28  Module#name
  0.00      0.00     0.00     0.00     0.00       32  <Class::Array>#allocate
  0.00      0.00     0.00     0.00     0.00       36  Fixnum#<=
  0.00      0.00     0.00     0.00     0.00       11  Test::Unit::TestSuite#<<
  0.00      0.00     0.00     0.00     0.00       37  Array#empty?
  0.00      0.00     0.00     0.00     0.00        4  Test::Unit::Util::ProcWrapper#eql?
  0.00      0.00     0.00     0.00     0.00       12  Array#hash-1
  0.00     56.36     0.00     0.00    56.36        1  Test::Unit::UI::TestRunnerMediator#run_suite
  0.00      0.00     0.00     0.00     0.00        9  Kernel#puts
  0.00      0.00     0.00     0.00     0.00       20  Test::Unit::TestCase#size
  0.00      0.00     0.00     0.00     0.00       31  Array#push
  0.00      0.00     0.00     0.00     0.00       29  Kernel#class
  0.00      0.00     0.00     0.00     0.00        3  Array#collect
  0.00     56.40     0.00     0.00    56.40        1  Global#[No method]
  0.00      0.00     0.00     0.00     0.00        9  Proc#to_s
  0.00      0.00     0.00     0.00     0.00        7  Module#include
  0.00      0.00     0.00     0.00     0.00        6  OptionParser#on_tail
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#attach_to_mediator
  0.00      0.00     0.00     0.00     0.00        6  IO#puts
  0.00      0.00     0.00     0.00     0.00       18  Class#inherited
  0.00      0.30     0.00     0.00     0.30        1  GridTester#test_grid_solvable
  0.00      0.00     0.00     0.00     0.00        7  OptionParser#notwice
  0.00      0.00     0.00     0.00     0.00       21  String#+
  0.00      0.00     0.00     0.00     0.00       17  Kernel#method
  0.00      0.00     0.00     0.00     0.00       11  Test::Unit::Util::ProcWrapper#hash
  0.00      0.00     0.00     0.00     0.00        8  OptionParser#top
  0.00      0.00     0.00     0.00     0.00       24  Module#public
  0.00      0.00     0.00     0.00     0.00        9  Kernel#inspect
  0.00      0.00     0.00     0.00     0.00        7  Module#append_features
  0.00      0.00     0.00     0.00     0.00        1  GridTester#test_zone_for
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#finished
  0.00      0.01     0.00     0.00     0.01        1  GridTester#test_unused_values_for_zone
  0.00      0.01     0.00     0.00     0.01        3  Grid#to_s
  0.00      0.00     0.00     0.00     0.00        7  OptionParser#base
  0.00      0.00     0.00     0.00     0.00        1  <Class::Test::Unit::TestCase>#suite
  0.00      0.00     0.00     0.00     0.00        9  <Class::OptionParser::Switch::NoArgument>#pattern
  0.00      0.33     0.00     0.00     0.33        1  GridTester#test_solve_easy_grid
  0.00      0.00     0.00     0.00     0.00       15  Kernel#respond_to?
  0.00     55.98     0.00     0.00    55.98        3  Grid#solve
  0.00      0.00     0.00     0.00     0.00       11  Module#private
  0.00      0.01     0.00     0.00     0.01        2  Proc#[]
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::AutoRunner#initialize
  0.00      0.00     0.00     0.00     0.00        7  Method#to_proc
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::AutoRunner#keyword_display
  0.00      0.00     0.00     0.00     0.00        9  String#hex
  0.00     39.91     0.00     0.00    39.91        1  GridTester#test_solve_hard_grid
  0.00      0.00     0.00     0.00     0.00        2  OptionParser::List#initialize
  0.00      0.00     0.00     0.00     0.00        1  Kernel#exit
  0.00      0.00     0.00     0.00     0.00        3  Array#hash
  0.00      0.00     0.00     0.00     0.00        1  GridTester#test_grid_valid
  0.00      0.00     0.00     0.00     0.00        7  Kernel#proc
  0.00      0.00     0.00     0.00     0.00       12  Kernel#singleton_method_added
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#to_s
  0.00     15.75     0.00     0.00    15.75        1  GridTester#test_solve_medium_grid
  0.00     56.36     0.00     0.00    56.36        1  Test::Unit::TestSuite#run-1
  0.00      0.00     0.00     0.00     0.00        9  Module#to_s
  0.00     56.37     0.00     0.00    56.37        1  Test::Unit::AutoRunner#run
  0.00      0.01     0.00     0.00     0.01        4  Kernel#require
  0.00      0.00     0.00     0.00     0.00       10  String#downcase
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#setup_mediator
  0.00      0.00     0.00     0.00     0.00        1  GridTester#test_unused_values_for_col
  0.00      0.00     0.00     0.00     0.00        1  GridTester#test_unused_values_for_row
  0.00      0.02     0.00     0.00     0.02        1  Test::Unit::AutoRunner#process_args
  0.00      0.01     0.00     0.00     0.01        1  Test::Unit::Collector::ObjectSpace#collect
  0.00      0.00     0.00     0.00     0.00        3  Grid#get
  0.00     56.36     0.00     0.00    56.36        1  Test::Unit::TestSuite#run
  0.00     56.39     0.00     0.00    56.39        1  <Class::Test::Unit::AutoRunner>#run
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestCase#teardown
  0.00      0.00     0.00     0.00     0.00        9  Symbol#to_s
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#add_suite
  0.00      0.00     0.00     0.00     0.00       10  Method#arity
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#initialize
  0.00      0.00     0.00     0.00     0.00        4  Test::Unit::Util::ProcWrapper#to_proc
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#parse_in_order
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestCase#setup
  0.00      0.00     0.00     0.00     0.00        9  Array#fetch
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::TestSuite#size
  0.00      0.00     0.00     0.00     0.00        1  Float#to_s
  0.00     56.36     0.00     0.00    56.36        1  Test::Unit::UI::Console::TestRunner#start
  0.00      0.00     0.00     0.00     0.00        7  Module#included
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#filter=
  0.00      0.00     0.00     0.00     0.00        2  Hash#delete
  0.00      0.00     0.00     0.00     0.00        2  Hash#has_key?
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::TestRunnerMediator#create_result
  0.00      0.00     0.00     0.00     0.00        1  Module#attr_writer
  0.00      0.00     0.00     0.00     0.00        2  <Class::Time>#now
  0.00     56.36     0.00     0.00    56.36        1  Test::Unit::UI::TestRunnerUtilities#run
  0.00      0.00     0.00     0.00     0.00        6  Hash#initialize
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#initialize
  0.00      0.02     0.00     0.00     0.02        1  Test::Unit::AutoRunner#options
  0.00      0.00     0.00     0.00     0.00        6  <Class::Hash>#allocate
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::TestSuite#initialize
  0.00      0.00     0.00     0.00     0.00        5  Module#>=
  0.00      0.00     0.00     0.00     0.00        4  Proc#==
  0.00      0.00     0.00     0.00     0.00        1  <Class::Test::Unit::AutoRunner>#standalone?
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::TestRunnerMediator#initialize
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#passed?
  0.00      0.00     0.00     0.00     0.00        2  <Class::Proc>#new
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestSuite#size-1
  0.00      0.00     0.00     0.00     0.00        3  String#initialize
  0.00      0.00     0.00     0.00     0.00        2  Solved#initialize
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector::ObjectSpace#initialize
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#add_officious
  0.00      0.00     0.00     0.00     0.00        3  <Class::String>#allocate
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#initialize
  0.00      0.00     0.00     0.00     0.00        1  SystemExit#initialize
  0.00      0.00     0.00     0.00     0.00        2  <Module::Test::Unit>#run=
  0.00      0.00     0.00     0.00     0.00        1  Kernel#extend
  0.00     56.36     0.00     0.00    56.36        1  Test::Unit::UI::Console::TestRunner#start_mediator
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#order!
  0.00      0.00     0.00     0.00     0.00        5  <Class::OptionParser::Switch::NoArgument>#incompatible_argument_styles
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#banner
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#error_count
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#failure_count
  0.00      0.00     0.00     0.00     0.00        2  Array#join
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#started
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#create_mediator
  0.00      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_get
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestSuite#empty?
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#sort
  0.00      0.00     0.00     0.00     0.00        1  Module#extend_object
  0.00      0.00     0.00     0.00     0.00        2  Time#initialize
  0.00      0.00     0.00     0.00     0.00        2  Kernel#instance_of?
  0.00      0.00     0.00     0.00     0.00        1  Array#sort
  0.00      0.00     0.00     0.00     0.00        2  Exception#exception
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#find_all
  0.00      0.00     0.00     0.00     0.00        1  Array#sort!
  0.00      0.00     0.00     0.00     0.00        2  <Class::Time>#allocate
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#collect
  0.00      0.00     0.00     0.00     0.00        1  <Module::Test::Unit>#run?
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestSuite#to_s
  0.00      0.00     0.00     0.00     0.00        2  Object#initialize
  0.00      0.00     0.00     0.00     0.00        1  Kernel#at_exit
  0.00      0.00     0.00     0.00     0.00        1  Time#-
  0.00      0.00     0.00     0.00     0.00        1  String#*
  0.00      0.00     0.00     0.00     0.00        1  Kernel#__id__
  0.00      0.00     0.00     0.00     0.00        1  Kernel#kind_of?
  0.00      0.00     0.00     0.00     0.00        1  Array#shift
  0.00      0.00     0.00     0.00     0.00        1  Module#extended
